KO	L1	L2	L3	L4
K01727	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K10677	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K01728	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K01052	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K12298	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K10759	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K01046	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K13534	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K13616	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K14073	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K01732	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K05359	L1_CAZymes	L2_Polysaccharide lyase	L3_NONE	L4_NONE
K04099	L1_Hydrocarbon degradation	L2_Polycyclic aromatics degradation	L3_NONE	L4_NONE
K08689	L1_Hydrocarbon degradation	L2_Polycyclic aromatics degradation	L3_NONE	L4_NONE
K13185	L1_Hydrocarbon degradation	L2_Polycyclic aromatics degradation	L3_NONE	L4_NONE
K01619	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00132	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00120	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00155	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00224	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00448	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00449	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00465	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00480	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00492	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00517	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00599	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K03384	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K04099	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K04100	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K04101	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K04102	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K07519	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K11943	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K11944	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K11945	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K11946	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K11947	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K11948	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K11949	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K14578	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K14579	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K14580	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K14581	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K14582	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K14599	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K14600	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K14601	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K14602	L1_Hydrocarbon degradation	L2_Polycyclic aromatic hydrocarbon degradation	L3_NONE	L4_NONE
K00210	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00211	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00220	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00270	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00500	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00766	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00800	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00811	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00815	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00817	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00832	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00838	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00891	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01609	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01626	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01656	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01657	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01694	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01713	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01735	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01736	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01817	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01850	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K03334	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K03785	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K03856	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K04092	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K04517	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K04518	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K05358	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K05359	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K05821	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K05887	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K06001	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K06208	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K09483	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K09484	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K11358	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K11645	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K11646	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K13497	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K13498	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K13501	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01658	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01695	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00812	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00813	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K01696	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K04093	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K04516	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K06209	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K03786	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K14455	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K13503	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K13829	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K13830	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K13832	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K13853	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K14170	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K14187	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K14454	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K15226	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K15227	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00128	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine, tyrosine and tryptophan biosynthesis	L3_NONE	L4_NONE
K00146	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00270	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00274	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00276	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00285	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00430	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00457	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00487	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00500	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00529	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00588	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00813	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00812	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00811	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00815	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00817	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00824	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00832	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00838	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K01426	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K01451	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K01593	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K01666	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K01904	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K01912	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K02554	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K03334	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K03782	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K05709	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K05708	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K05710	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K05711	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K05712	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K05713	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K05714	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K05821	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K07253	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K10437	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K09754	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K10775	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K10797	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K11188	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K11358	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K12732	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K13064	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K13371	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K14454	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K13372	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K14455	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00003	L1_Amino acid utilization biosynthesis metabolism	L2_Phenylalanine metabolism	L3_NONE	L4_NONE
K00873	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K01825	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K13831	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K01783	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K06040	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K01784	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K13501	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K00917	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K08094	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K00918	L1_Utililization of sugar, conversion of pentose to EMP pathway intermediates	L2_Pentose	L3_NONE	L4_NONE
K01051	L1_Hydrolysis of polymers	L2_Pectin	L3_NONE	L4_NONE
K01184	L1_Hydrolysis of polymers	L2_Pectin	L3_NONE	L4_NONE
K01213	L1_Hydrolysis of polymers	L2_Pectin	L3_NONE	L4_NONE
K11646	L1_Amino acid utilization biosynthesis metabolism	L2_Oxidation deamination	L3_NONE	L4_NONE
K00261	L1_Amino acid utilization biosynthesis metabolism	L2_Oxidation deamination	L3_NONE	L4_NONE
K00259	L1_Amino acid utilization biosynthesis metabolism	L2_Oxidation deamination	L3_NONE	L4_NONE
K15371	L1_Amino acid utilization biosynthesis metabolism	L2_Oxidation deamination	L3_NONE	L4_NONE
K00260	L1_Amino acid utilization biosynthesis metabolism	L2_Oxidation deamination	L3_NONE	L4_NONE
K00262	L1_Amino acid utilization biosynthesis metabolism	L2_Oxidation deamination	L3_NONE	L4_NONE
K00821	L1_Amino acid utilization biosynthesis metabolism	L2_Oxidation deamination	L3_NONE	L4_NONE
K11066	L1_Hydrocarbon degradation	L2_Other aromatics degradation	L3_NONE	L4_NONE
K01426	L1_Hydrocarbon degradation	L2_Other aromatics degradation	L3_NONE	L4_NONE
K00055	L1_Hydrocarbon degradation	L2_Other aromatics degradation	L3_NONE	L4_NONE
K03381	L1_Hydrocarbon degradation	L2_Other aromatics degradation	L3_NONE	L4_NONE
K00446	L1_Hydrocarbon degradation	L2_Other aromatics degradation	L3_NONE	L4_NONE
K00141	L1_Hydrocarbon degradation	L2_Other aromatics degradation	L3_NONE	L4_NONE
K01501	L1_Hydrocarbon degradation	L2_Other aromatics degradation	L3_NONE	L4_NONE
K00448	L1_Hydrocarbon degradation	L2_Other aromatics degradation	L3_NONE	L4_NONE
K03380	L1_Hydrocarbon degradation	L2_Other aromatics degradation	L3_NONE	L4_NONE
K00394	L1_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	L2_NONE	L3_NONE	L4_NONE
K00395	L1_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	L2_NONE	L3_NONE	L4_NONE
K00975	L1_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	L2_NONE	L3_NONE	L4_NONE
K00978	L1_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	L2_NONE	L3_NONE	L4_NONE
K00979	L1_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	L2_NONE	L3_NONE	L4_NONE
K00955	L1_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	L2_NONE	L3_NONE	L4_NONE
K00971	L1_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	L2_NONE	L3_NONE	L4_NONE
K02588	L1_Nitrogen cycle	L2_Nitrogen Fixation	L3_NONE	L4_NONE
K02591	L1_Nitrogen cycle	L2_Nitrogen Fixation	L3_NONE	L4_NONE
K02586	L1_Nitrogen cycle	L2_Nitrogen Fixation	L3_NONE	L4_NONE
K00531	L1_Nitrogen cycle	L2_Nitrogen Fixation	L3_NONE	L4_NONE
K02595	L1_Nitrogen cycle	L2_Nitrogen Fixation	L3_NONE	L4_NONE
K04098	L1_Hydrocarbon degradation	L2_Nitroaromatics degradation	L3_NONE	L4_NONE
K00452	L1_Hydrocarbon degradation	L2_Nitroaromatics degradation	L3_NONE	L4_NONE
K01721	L1_Hydrocarbon degradation	L2_Nitroaromatics degradation	L3_NONE	L4_NONE
K00492	L1_Hydrocarbon degradation	L2_Nitroaromatics degradation	L3_NONE	L4_NONE
K00814	L1_Embden Meyerhof-Parnos (EMP)	L2_Modified EMP pathway	L3_NONE	L4_NONE
K14260	L1_Embden Meyerhof-Parnos (EMP)	L2_Modified EMP pathway	L3_NONE	L4_NONE
K14272	L1_Embden Meyerhof-Parnos (EMP)	L2_Modified EMP pathway	L3_NONE	L4_NONE
K00169	L1_Embden Meyerhof-Parnos (EMP)	L2_Modified EMP pathway	L3_NONE	L4_NONE
K00170	L1_Embden Meyerhof-Parnos (EMP)	L2_Modified EMP pathway	L3_NONE	L4_NONE
K00171	L1_Embden Meyerhof-Parnos (EMP)	L2_Modified EMP pathway	L3_NONE	L4_NONE
K00172	L1_Embden Meyerhof-Parnos (EMP)	L2_Modified EMP pathway	L3_NONE	L4_NONE
K01905	L1_Embden Meyerhof-Parnos (EMP)	L2_Modified EMP pathway	L3_NONE	L4_NONE
K03777	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K00024	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K00121	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K03778	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K00025	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K00026	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K11440	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K13951	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K13952	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K13953	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K13954	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K13980	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K00031	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K00132	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K04072	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K04073	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K02203	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K02472	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K02474	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K05556	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K06607	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K07535	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K07538	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K08322	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K10251	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K10978	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K11150	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K11151	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K11152	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K11153	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K11154	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K11161	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K11162	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K11539	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K12420	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
K12451	L1_Fermentation	L2_Mixed acid fermentation	L3_NONE	L4_NONE
